# STN;YYYYMMDD;wind;rain;snow;tunder;ice;covid_shock
240;20200124;30;0;0;0;0;0
240;20200124;40;0;0;0;0;0
240;20200124;30;0;0;0;0;0
240;20200124;40;0;0;0;0;0
240;20200124;30;0;0;0;0;0
240;20200124;30;0;0;0;0;0
240;20200124;40;0;0;0;0;0
240;20200124;50;0;0;0;0;0
240;20200124;50;0;0;0;0;0
240;20200124;40;0;0;0;0;0
240;20200124;40;0;0;0;0;0
240;20200124;40;0;0;0;0;0
240;20200124;50;0;0;0;0;0
240;20200124;50;0;0;0;0;0
240;20200124;40;0;0;0;0;0
240;20200124;50;0;0;0;0;0
240;20200124;50;0;0;0;0;0
240;20200124;50;0;0;0;0;0
240;20200125;40;0;0;0;0;0
240;20200125;40;0;0;0;0;0
240;20200125;40;0;0;0;0;0
240;20200125;30;0;0;0;0;0
240;20200125;40;0;0;0;0;0
240;20200125;50;0;0;0;0;0
240;20200125;30;0;0;0;0;0
240;20200125;50;0;0;0;0;0
240;20200125;40;0;0;0;0;0
240;20200125;50;0;0;0;0;0
240;20200125;50;0;0;0;0;0
240;20200125;60;0;0;0;0;0
240;20200125;60;0;0;0;0;0
240;20200125;50;0;0;0;0;0
240;20200125;40;0;0;0;0;0
240;20200125;40;0;0;0;0;0
240;20200125;40;0;0;0;0;0
240;20200125;30;0;0;0;0;0
240;20200125;40;0;0;0;0;0
240;20200125;40;0;0;0;0;0
240;20200125;40;0;0;0;0;0
240;20200125;40;0;0;0;0;0
240;20200125;30;0;0;0;0;0
240;20200125;50;0;0;0;0;0
240;20200126;40;0;0;0;0;0
240;20200126;60;0;0;0;0;0
240;20200126;40;0;0;0;0;0
240;20200126;50;0;0;0;0;0
240;20200126;50;0;0;0;0;0
240;20200126;50;0;0;0;0;0
240;20200126;40;0;0;0;0;0
240;20200126;40;0;0;0;0;0
240;20200126;50;0;0;0;0;0
240;20200126;50;0;0;0;0;0
240;20200126;50;0;0;0;0;0
240;20200126;60;0;0;0;0;0
240;20200126;50;0;0;0;0;0
240;20200126;50;0;0;0;0;0
240;20200126;60;0;0;0;0;0
240;20200126;50;0;0;0;0;0
240;20200126;40;0;0;0;0;0
240;20200126;70;0;0;0;0;0
240;20200126;50;0;0;0;0;0
240;20200126;60;0;0;0;0;0
240;20200126;70;0;0;0;0;0
240;20200126;70;1;0;0;0;0
240;20200126;70;1;0;0;0;0
240;20200126;80;1;0;0;0;0
240;20200127;80;1;0;0;0;0
240;20200127;80;1;0;0;0;0
240;20200127;70;1;0;0;0;0
240;20200127;60;1;0;0;0;0
240;20200127;60;0;0;0;0;0
240;20200127;50;1;0;0;0;0
240;20200127;50;1;0;0;0;0
240;20200127;60;0;0;0;0;0
240;20200127;60;0;0;0;0;0
240;20200127;70;0;0;0;0;0
240;20200127;60;0;0;0;0;0
240;20200127;80;0;0;0;0;0
240;20200127;70;0;0;0;0;0
240;20200127;60;0;0;0;0;0
240;20200127;50;1;0;0;0;0
240;20200127;50;1;0;0;0;0
240;20200127;40;1;0;0;0;0
240;20200127;40;0;0;0;0;0
240;20200127;50;0;0;0;0;0
240;20200127;70;0;0;0;0;0
240;20200127;70;1;0;0;0;0
240;20200127;70;1;0;0;0;0
240;20200127;50;1;0;0;0;0
240;20200127;70;1;0;0;0;0
240;20200128;60;0;0;0;0;0
240;20200128;60;0;0;0;0;0
240;20200128;80;0;0;0;0;0
240;20200128;60;1;0;0;0;0
240;20200128;60;1;0;0;0;0
240;20200128;50;1;0;0;0;0
240;20200128;90;1;0;0;0;0
240;20200128;110;1;0;0;0;0
240;20200128;80;1;0;0;0;0
240;20200128;100;1;0;0;0;0
240;20200128;120;1;0;0;0;0
240;20200128;120;1;0;0;0;0
240;20200128;120;0;0;0;0;0
240;20200128;120;0;0;0;0;0
240;20200128;100;1;0;0;0;0
240;20200128;90;1;0;0;0;0
240;20200128;90;1;0;0;0;0
240;20200128;70;1;0;0;0;0
240;20200128;80;1;0;0;0;0
240;20200128;80;1;0;0;0;0
240;20200128;80;1;0;0;0;0
240;20200128;80;0;0;0;0;0
240;20200128;80;0;0;0;0;0
240;20200128;80;1;0;0;0;0
240;20200129;80;1;0;0;0;0
240;20200129;90;0;0;0;0;0
240;20200129;80;0;0;0;0;0
240;20200129;70;0;0;0;0;0
240;20200129;80;0;0;0;0;0
240;20200129;90;0;0;0;0;0
240;20200129;90;0;0;0;0;0
240;20200129;100;1;0;0;0;0
240;20200129;90;1;0;0;0;0
240;20200129;100;1;0;0;0;0
240;20200129;110;1;0;0;0;0
240;20200129;90;1;0;0;0;0
240;20200129;100;0;0;0;0;0
240;20200129;100;0;0;0;0;0
240;20200129;100;0;0;0;0;0
240;20200129;70;0;0;0;0;0
240;20200129;60;0;0;0;0;0
240;20200129;80;0;0;0;0;0
240;20200129;60;0;0;0;0;0
240;20200129;70;0;0;0;0;0
240;20200129;70;0;0;0;0;0
240;20200129;70;0;0;0;0;0
240;20200129;80;0;0;0;0;0
240;20200129;100;0;0;0;0;0
240;20200130;110;0;0;0;0;0
240;20200130;90;0;0;0;0;0
240;20200130;90;0;0;0;0;0
240;20200130;80;0;0;0;0;0
240;20200130;90;0;0;0;0;0
240;20200130;80;0;0;0;0;0
240;20200130;70;0;0;0;0;0
240;20200130;80;0;0;0;0;0
240;20200130;70;0;0;0;0;0
240;20200130;80;0;0;0;0;0
240;20200130;70;0;0;0;0;0
240;20200130;80;0;0;0;0;0
240;20200130;70;0;0;0;0;0
240;20200130;50;0;0;0;0;0
240;20200130;60;1;0;0;0;0
240;20200130;80;1;0;0;0;0
240;20200130;80;1;0;0;0;0
240;20200130;90;1;0;0;0;0
240;20200130;80;1;0;0;0;0
240;20200130;100;1;0;0;0;0
240;20200130;100;1;0;0;0;0
240;20200130;120;0;0;0;0;0
240;20200130;110;0;0;0;0;0
240;20200130;100;0;0;0;0;0
240;20200131;80;0;0;0;0;0
240;20200131;90;0;0;0;0;0
240;20200131;90;0;0;0;0;0
240;20200131;80;0;0;0;0;0
240;20200131;60;0;0;0;0;0
240;20200131;70;0;0;0;0;0
240;20200131;80;0;0;0;0;0
240;20200131;60;0;0;0;0;0
240;20200131;50;0;0;0;0;0
240;20200131;90;0;0;0;0;0
240;20200131;110;0;0;0;0;0
240;20200131;100;0;0;0;0;0
240;20200131;120;0;0;0;0;0
240;20200131;90;0;0;0;0;0
240;20200131;80;0;0;0;0;0
240;20200131;100;0;0;0;0;0
240;20200131;90;0;0;0;0;0
240;20200131;90;1;0;0;0;0
240;20200131;100;0;0;0;0;0
240;20200131;100;0;0;0;0;0
240;20200131;100;0;0;0;0;0
240;20200131;100;1;0;0;0;0
240;20200131;100;0;0;0;0;0
240;20200131;90;1;0;0;0;0
240;20200201;90;1;0;0;0;0
240;20200201;90;1;0;0;0;0
240;20200201;80;1;0;0;0;0
240;20200201;100;1;0;0;0;0
240;20200201;100;1;0;0;0;0
240;20200201;90;1;0;0;0;0
240;20200201;70;0;0;0;0;0
240;20200201;80;0;0;0;0;0
240;20200201;90;0;0;0;0;0
240;20200201;90;0;0;0;0;0
240;20200201;100;0;0;0;0;0
240;20200201;100;0;0;0;0;0
240;20200201;110;0;0;0;0;0
240;20200201;110;0;0;0;0;0
240;20200201;100;0;0;0;0;0
